"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Create file with empty filename","LMS service","Sat Feb 21 08:13:53 UTC 2026","passed","Sat Feb 21 08:13:53 UTC 2026","Validate entity","Files","",""
"","29","Delete exercise","LMS service","Sat Feb 21 08:13:51 UTC 2026","passed","Sat Feb 21 08:13:51 UTC 2026","Delete entity","Exercises","",""
"","291","Create user","LMS service","Sat Feb 21 08:13:54 UTC 2026","passed","Sat Feb 21 08:13:54 UTC 2026","Create entity","Users","",""
"","550","Create user","LMS service","Sat Feb 21 08:13:54 UTC 2026","passed","Sat Feb 21 08:13:55 UTC 2026","Create entity","Users","",""
"","28","Create course","LMS service","Sat Feb 21 08:13:48 UTC 2026","passed","Sat Feb 21 08:13:48 UTC 2026","Create entity","Courses","",""
"","20","Delete file","LMS service","Sat Feb 21 08:13:54 UTC 2026","passed","Sat Feb 21 08:13:54 UTC 2026","Delete entity","Files","",""
"","26","Get courses","LMS service","Sat Feb 21 08:13:47 UTC 2026","passed","Sat Feb 21 08:13:47 UTC 2026","Get entities","Courses","",""
"","18","Create file with empty directory","LMS service","Sat Feb 21 08:13:53 UTC 2026","passed","Sat Feb 21 08:13:53 UTC 2026","Validate entity","Files","",""
"","19","Get exercises","LMS service","Sat Feb 21 08:13:51 UTC 2026","passed","Sat Feb 21 08:13:51 UTC 2026","Get entities","Exercises","",""
"","265","Create file","LMS service","Sat Feb 21 08:13:51 UTC 2026","passed","Sat Feb 21 08:13:52 UTC 2026","Create entity","Files","",""
"","285","Login with correct email and password","LMS service","Sat Feb 21 08:13:46 UTC 2026","passed","Sat Feb 21 08:13:46 UTC 2026","Login","Authentication","",""
"","12","Get user me","LMS service","Sat Feb 21 08:13:56 UTC 2026","passed","Sat Feb 21 08:13:56 UTC 2026","Get entity","Users","",""
"","302","Update course","LMS service","Sat Feb 21 08:13:47 UTC 2026","passed","Sat Feb 21 08:13:47 UTC 2026","Update entity","Courses","",""
"","20","Create exercise","LMS service","Sat Feb 21 08:13:48 UTC 2026","passed","Sat Feb 21 08:13:48 UTC 2026","Create entity","Exercises","",""
"","13","Get file with incorrect file id","LMS service","Sat Feb 21 08:13:54 UTC 2026","passed","Sat Feb 21 08:13:54 UTC 2026","Validate entity","Files","",""
"","18","Get exercise","LMS service","Sat Feb 21 08:13:49 UTC 2026","passed","Sat Feb 21 08:13:49 UTC 2026","Get entity","Exercises","",""
"","15","Get file","LMS service","Sat Feb 21 08:13:52 UTC 2026","passed","Sat Feb 21 08:13:52 UTC 2026","Get entity","Files","",""
"","522","Create user","LMS service","Sat Feb 21 08:13:54 UTC 2026","passed","Sat Feb 21 08:13:55 UTC 2026","Create entity","Users","",""
"","26","Update exercise","LMS service","Sat Feb 21 08:13:49 UTC 2026","passed","Sat Feb 21 08:13:49 UTC 2026","Update entity","Exercises","",""
